Aal	'ʔaː.aːl
versetzen	fɛɐ.'zeːt.ʦən
Versetzen Sie sich in meine Lage	fɛɐ.'zeːt.ʦɛn .ziː .zɪç .ɪn .maɪ.neː .laː.gə
versetzend	fɛɐ.'zeːt.ʦɛnt
versetzt	'feːɐ.zɛʦt
versetzt in Panik	fɛɐ.'zɛʦt .ɪn .paː.niːk
versetzt werden	fɛɐ.'zɛʦt .vɐ.dən
versetzte	fɛɐ.'zeːʦ.tə
Versetzung	fɛɐ.'zeːt.ʦʊŋ
Versetzung eines Halbleiters	fɛɐ.'zeːt.ʦʊnk  .aɪ.nɛs .hal.blaɪ.tɛɐs
Versetzung nach	fɛɐ.'zeːt.ʦʊnk  .naːx
Versetzungen	fɛɐ.'zeːt.ʦʊŋ.gən
verseuchen	fɛɐ.'zɔɪ.xən
verseuchend	fɛɐ.'zɔɪ.xɛnt
verseucht	fɛɐ.'zɔɪxt
verseuchte	fɛɐ.'zɔɪx.tə
Verseuchung	fɛɐ.'zɔɪ.xʊŋ
Verseuchungen	fɛɐ.'zɔɪ.xʊŋ.gən
Versfuß	'feːɐ.sfuːs
versicherbar	fɛɐ.'zɪ.çɐ.baːɐ
Versicherer	fɛɐ.'zɪ.çə.ʀɐ
versichern	fɛɐ.'zɪ.çɐn
versichernd	fɛɐ.'zɪ.çɛɐnt
versichert	fɛɐ.'zɪ.çɛɐt
versichert nach	fɛɐ.'zɪ.çɛɐt .naːx
versicherte	fɛɐ.'zɪ.çɐ.tə
versicherte nach	fɛɐ.'zɪ.çɐ.teː .naːx
Versicherung	fɛɐ.'zɪ.çə.ʀʊŋ
Versicherungen	fɛɐ.'zɪ.çə.ʀʊŋ.gən
Versicherungsdarlehen	fɛɐ.'zɪ.çə.ʀʊnks.da.ʀleː.ən
Versicherungsfähigkeit	fɛɐ.'zɪ.çə.ʀʊnks.fə.hɪç.kaɪt
Versicherungsgesellschaft	fɛɐ.'zɪ.çə.ʀʊnks.gə.zɛl.ʃaft
Versicherungsgesellschaften	fɛɐ.'zɪ.çə.ʀʊnks.gə.zɛl.ʃaːf.tən
Versicherungsmathematik	fɛɐ.'zɪ.çə.ʀʊnks.maːt.hə.maː.tiːk
versicherungsmathematisch	fɛɐ.'zɪ.çə.ʀʊnks.maːt.hə.maː.tiːʃ
versicherungsmathematische Berechnungen	fɛɐ.'zɪ.çə.ʀʊnks.maːt.hə.maː.tiː.ʃeː .bə.ʀə.çnʊŋ.gən
versicherungsmathematische Grundlage	fɛɐ.'zɪ.çə.ʀʊnks.maːt.hə.maː.tiː.ʃeː .gʀʊn.dlaː.gə
versicherungsmathematische Kostenermittlung	fɛɐ.'zɪ.çə.ʀʊnks.maːt.hə.maː.tiː.ʃeː .kɔ.ʃtə.nɐ.mɪ.tlʊŋ
Versicherungsnehmer	fɛɐ.'zɪ.çə.ʀʊnks.neː.mɐ
Versicherungspolice	fɛɐ.'zɪ.çə.ʀʊnks.poː.liːc.ə
Versicherungspolicen	fɛɐ.'zɪ.çə.ʀʊnks.poː.liːc.ən
Versicherungsprämie	fɛɐ.'zɪ.çə.ʀʊnks.pʀə.miː
Versicherungsstatistiker	fɛɐ.'zɪ.çə.ʀʊnks.ʃta.tɪ.ʃtiː.kɐ
versicherungsstatistisch	fɛɐ.'zɪ.çə.ʀʊnks.ʃta.tɪ.ʃtiːʃ
versicherungsstatistische Tabelle	fɛɐ.'zɪ.çə.ʀʊnks.ʃta.tɪ.ʃtiː.ʃeː .taː.bɛ.lə
Versicherungssumme	fɛɐ.'zɪ.çə.ʀʊnks.zʊ.mə
Versicherungsträger	fɛɐ.'zɪ.çə.ʀʊnks.tʀə.gɐ
versickern	fɛɐ.'zɪ.kɐn
versickert	fɛɐ.'zɪ.kɛɐt
versickerte	fɛɐ.'zɪ.kɐ.tə
versiegeln	fɛɐ.'ziː.gɛln
versiegen	fɛɐ.'ziː.gən
versilbert	fɛɐ.'zɪl.bɛɐt
versilberte	fɛɐ.'zɪl.bɐ.tə
Versilberung	fɛɐ.'zɪl.bə.ʀʊŋ
Versilberungen	fɛɐ.'zɪl.bə.ʀʊŋ.gən
versinkend	fɛɐ.'zɪŋ.kɛnt
versinkt	'feːɐ.zɪnkt
versinnbildlichen	fɛɐ.'zɪn.bɪl.dlɪ.çən
versinnbildlichend	fɛɐ.'zɪn.bɪl.dlɪ.çɛnt
versinnbildlichte	fɛɐ.'zɪn.bɪl.dlɪç.tə
Versinnbildlichung	fɛɐ.'zɪn.bɪl.dlɪ.çʊŋ
versinnlichen	fɛɐ.'zɪ.nlɪ.çən
versinnlichend	fɛɐ.'zɪ.nlɪ.çɛnt
versinnlicht	fɛɐ.'zɪ.nlɪçt
versinnlichte	fɛɐ.'zɪ.nlɪç.tə
Version	fɛɐ.'ziː.oːn
Versionen	fɛɐ.'ziː.oː.nən
versklaven	fɛɐ.'sklaː.fən
versklavend	fɛɐ.'sklaː.fɛnt
versklavt	'feːɐ.sklaft
versklavte	fɛɐ.'sklaːf.tə
Versklavung	fɛɐ.'skla.fʊŋ
Versklavungen	fɛɐ.'skla.fʊŋ.gən
Versmaß	'feːɐ.smaːs
versnobt	'feːɐ.snɔpt
versnobte	fɛɐ.'snoːp.tə
versoff	'feːɐ.zɔff
versoffen	fɛɐ.'zoːf.fən
versoffene	fɛɐ.'zoːf.fə.nə
versorgen	fɛɐ.'zɔɐ.gən
versorgen mit	fɛɐ.'zɔɐ.gɛn .miːt
versorgen mit	fɛɐ.'zɔɐ.gɛn .miːt
versorgend	fɛɐ.'zɔɐ.gɛnt
versorgende	fɛɐ.'zɔɐ.gən.də
Versorger	fɛɐ.'zɔɐ.gɐ
versorgt	'feːɐ.zɔɐkt
Versorgung	fɛɐ.'zɔɐ.gʊŋ
Versorgungs	fɛɐ.'zɔɐ.gʊnks
Versorgungsbetrieb	fɛɐ.'zɔɐ.gʊnks.bə.tʀiːp
Versorgungsempfänger	fɛɐ.'zɔɐ.gʊnks.əm.pfən.gɐ
Versorgungsgerät	fɛɐ.'zɔɐ.gʊnks.gə.ʀeːt
Versorgungsgüter	fɛɐ.'zɔɐ.gʊnks.gyː.tɐ
Versorgungsschwierigkeiten	fɛɐ.zɔɐ.gʊnks.'ʃviː.ʀɪç.kaɪ.tən
Versorgungsspannung	fɛɐ.'zɔɐ.gʊnks.ʃpa.nʊŋ
Versorgungsstrom	fɛɐ.'zɔɐ.gʊnks.ʃtʀoːm
verspanne	fɛɐ.'ʃpa.nə
verspannen	fɛɐ.'ʃpa.nən
verspannt	'feːɐ.ʃpant
verspannte	fɛɐ.'ʃpan.tə
verspeist	fɛɐ.'ʃpaɪst
verspeiste	fɛɐ.'ʃpaɪ.ʃtə
versperren	fɛɐ.'ʃpɛ.ʀən
versperrend	fɛɐ.'ʃpɛ.ʀɛnt
versperrt	'feːɐ.ʃpɛɐt
versperrte	fɛɐ.'ʃpɛɐ.tə
verspielen Geld	fɛɐ.'ʃpiː.lɛn .gɛlt
verspielt	fɛɐ.'ʃpiːlt
versponnen	fɛɐ.'ʃpɔ.nən
verspotten	fɛɐ.'ʃpɔ.tən
verspottend	fɛɐ.'ʃpɔ.tɛnt
verspottet	fɛɐ.'ʃpɔ.teːt
verspottete	fɛɐ.'ʃpɔ.tə.tə
Verspottung	fɛɐ.'ʃpɔ.tʊŋ
versprach	'feːɐ.ʃpʀaːx
versprechen	fɛɐ.'ʃpʀeː.çən
versprechen	fɛɐ.'ʃpʀeː.çən
versprechend	fɛɐ.'ʃpʀeː.çɛnt
Versprecher	fɛɐ.'ʃpʀɛ.çɐ
Versprechung	fɛɐ.'ʃpʀeː.çʊŋ
versprengt	'feːɐ.ʃpʀɛnkt
verspricht	'feːɐ.ʃpʀɪçt
verspritzen	fɛɐ.'ʃpʀiːt.ʦən
verspritzend	fɛɐ.'ʃpʀiːt.ʦɛnt
verspritzt	'feːɐ.ʃpʀɪʦt
verspritzte	fɛɐ.'ʃpʀiːʦ.tə
verspritzten	fɛɐ.'ʃpʀiːʦ.tən
versprochen	fɛɐ.'ʃpʀoː.xən
verspäte	fɛɐ.'ʃpɛ.tə
verspäten	fɛɐ.'ʃpeː.tən
verspätest	fɛɐ.'ʃpeː.tɛst
verspätet	fɛɐ.'ʃpeː.teːt
verspätete	fɛɐ.'ʃpɛ.tə.tə
verspäteten	fɛɐ.'ʃpɛ.tə.tən
Verspätung	fɛɐ.'ʃpeː.tʊŋ
Verspätungen	fɛɐ.'ʃpeː.tʊŋ.gən
verstaatlichen	fɛɐ.'ʃtaː.a.tlɪ.çən
verstaatlichend	fɛɐ.'ʃtaː.a.tlɪ.çɛnt
verstaatlicht	fɛɐ.'ʃtaː.a.tlɪçt
verstaatlichte	fɛɐ.'ʃtaː.a.tlɪç.tə
verstaatlichten	fɛɐ.'ʃtaː.a.tlɪç.tən
Verstaatlichung	fɛɐ.'ʃtaː.a.tlɪ.çʊŋ
verstadtlichen	fɛɐ.'ʃtaːt.tlɪ.çən
verstadtlicht	fɛɐ.'ʃtaːt.tlɪçt
verstadtlichte	fɛɐ.'ʃtaːt.tlɪç.tə
verstand	'feːɐ.ʃtant
verstand	'feːɐ.ʃtant
verstanden	fɛɐ.'ʃtan.dən
Verstandesmensch	fɛɐ.'ʃtan.də.smɛnʃ
Verstandesmenschen	fɛɐ.'ʃtan.də.smɛn.ʃən
Verstandesschärfe	fɛɐ.'ʃtan.də.sʃɐ.fə
verstauben	fɛɐ.'ʃtaʊ.bən
verstaubt	fɛɐ.'ʃtaʊpt
verstaubte	fɛɐ.'ʃtaʊp.tə
Verstaubtheit	fɛɐ.'ʃtaʊpt.haɪt
verstauchen	fɛɐ.'ʃtaʊ.xən
verstauchend	fɛɐ.'ʃtaʊ.xɛnt
verstaucht	fɛɐ.'ʃtaʊxt
verstauchte	fɛɐ.'ʃtaʊx.tə
verstauchten	fɛɐ.'ʃtaʊx.tən
Versteck	'feːɐ.ʃtɛk
Verstecke	fɛɐ.'ʃtɛ.kə
verstecken	fɛɐ.'ʃtɛ.kən
verstecken	fɛɐ.'ʃtɛ.kən
versteckend	fɛɐ.'ʃtɛ.kɛnt
Versteckspiel	fɛɐ.'ʃtɛk.ʃpiːl
versteckt	'feːɐ.ʃtɛkt
versteckte	fɛɐ.'ʃtɛk.tə
versteckte Passagiere	fɛɐ.ʃtɛk.teː .pa.sa.'giː.ʀə
versteckter Passagier	fɛɐ.'ʃtɛk.tɛɐ .pa.saː.giːɐ
verstecktere	fɛɐ.'ʃtɛk.tə.ʀə
versteckteste	fɛɐ.'ʃtɛk.tə.ʃtə
versteh mich nicht falsch	fɛɐ.'ʃteː .mɪç .nɪçt .falʃ
verstehen	fɛɐ.'ʃteː.ən
verstehen Sie	fɛɐ.'ʃteː.ɛn .ziː
Verstehen Sie mich	fɛɐ.'ʃteː.ɛn .ziː .mɪç
verstehend	fɛɐ.'ʃteː.ɛnt
versteht	'feːɐ.ʃteːt
versteht falsch	fɛɐ.'ʃteːt .falʃ
versteift	fɛɐ.'ʃtaɪft
versteifte	fɛɐ.'ʃtaɪf.tə
Versteifung	fɛɐ.'ʃtaɪ.fʊŋ
Versteifungen	fɛɐ.'ʃtaɪ.fʊŋ.gən
Versteigerer	fɛɐ.'ʃtaɪ.gə.ʀɐ
versteigern	fɛɐ.'ʃtaɪ.gɐn
versteigernd	fɛɐ.'ʃtaɪ.gɛɐnt
versteigert	fɛɐ.'ʃtaɪ.gɛɐt
versteigerte	fɛɐ.'ʃtaɪ.gɐ.tə
Versteigerung	fɛɐ.'ʃtaɪ.gə.ʀʊŋ
versteinern	fɛɐ.'ʃtaɪ.nɐn
versteinernd	fɛɐ.'ʃtaɪ.nɛɐnt
versteinert	fɛɐ.'ʃtaɪ.nɛɐt
versteinerte	fɛɐ.'ʃtaɪ.nɐ.tə
Versteinerung	fɛɐ.'ʃtaɪ.nə.ʀʊŋ
Versteinerungen	fɛɐ.'ʃtaɪ.nə.ʀʊŋ.gən
Verstellbarkeit	fɛɐ.'ʃtɛl.baɐ.kaɪt
verstellen	fɛɐ.'ʃtɛ.lən
verstellend	fɛɐ.'ʃtɛ.lɛnt
verstellt	'feːɐ.ʃtɛlt
verstellte	fɛɐ.'ʃtɛl.tə
Verstellung	fɛɐ.'ʃtɛ.lʊŋ
Verstellungen	fɛɐ.'ʃtɛ.lʊŋ.gən
versteuern	fɛɐ.'ʃtɔɪ.ɐn
versteuerte	fɛɐ.'ʃtɔɪ.ɐ.tə
versteuertem	fɛɐ.'ʃtɔɪ.ɐ.təm
Versteuerung	fɛɐ.'ʃtɔɪ.ə.ʀʊŋ
verstieß	fɛɐ.'ʃtiːs
verstimmt	'feːɐ.ʃtɪmt
verstimmte	fɛɐ.'ʃtɪm.tə
Verstimmung	fɛɐ.'ʃtɪ.mʊŋ
verstockt	'feːɐ.ʃtɔkt
verstockte	fɛɐ.'ʃtɔk.tə
Verstocktheit	fɛɐ.'ʃtɔkt.haɪt
Verstocktheiten	fɛɐ.'ʃtɔkt.haɪ.tən
verstohlen	fɛɐ.'ʃtoː.lən
verstopfen	fɛɐ.'ʃtɔ.pfən
verstopfend	fɛɐ.'ʃtɔ.pfɛnt
verstopfende	fɛɐ.'ʃtɔ.pfən.də
verstopft	'feːɐ.ʃtɔpft
verstopfte	fɛɐ.'ʃtɔpf.tə
Verstopfung	fɛɐ.'ʃtɔ.pfʊŋ
Verstopfungen	fɛɐ.'ʃtɔ.pfʊŋ.gən
verstorben	fɛɐ.'ʃtɔɐ.bən
Verstorbene	fɛɐ.'ʃtɔɐ.bə.nə
Verstorbenen	fɛɐ.'ʃtɔɐ.bə.nən
Verstoß	'feːɐ.ʃtoːs
Verstoß gegen	fɛɐ.'ʃtɔs  .gə.gən
verstoßen	fɛɐ.'ʃtoː.sən
verstoßen gegen	fɛɐ.'ʃtoː.sɛn .gə.gən
verstoßen gegen Rechte etc	fɛɐ.'ʃtoː.sɛn .gə.gɛn .ʀeːç.teː .ɛtc
verstoßend	fɛɐ.'ʃtoː.sɛnt
Verstoßene	fɛɐ.'ʃtoː.sə.nə
Verstoßung	fɛɐ.'ʃtoː.sʊŋ
verstreben	fɛɐ.'ʃtʀeː.bən
verstrebend	fɛɐ.'ʃtʀeː.bɛnt
verstrebt	'feːɐ.ʃtʀɛpt
verstrebte	fɛɐ.'ʃtʀeːp.tə
Verstrebung	fɛɐ.'ʃtʀeː.bʊŋ
verstreichen	fɛɐ.'ʃtʀaɪ.çən
verstreuen	fɛɐ.'ʃtʀɔɪ.ən
verstreut	fɛɐ.'ʃtʀɔɪt
verstreut sein	fɛɐ.'ʃtʀɔɪt .zaɪn
verstreuter	fɛɐ.'ʃtʀɔɪ.tɐ
verstreuteste	fɛɐ.'ʃtʀɔɪ.tə.ʃtə
verstrichene	fɛɐ.'ʃtʀɪ.çə.nə
verstricktere	fɛɐ.'ʃtʀɪk.tə.ʀə
verstrickteste	fɛɐ.'ʃtʀɪk.tə.ʃtə
verstummen	fɛɐ.'ʃtʊ.mən
verstummt	'feːɐ.ʃtʊmt
verstummte	fɛɐ.'ʃtʊm.tə
verstädtern	fɛɐ.'ʃteːt.tɐn
verstädternd	fɛɐ.'ʃteːt.tɛɐnt
verstädtert	fɛɐ.'ʃteːt.tɛɐt
verstädterte	fɛɐ.'ʃteːt.tɐ.tə
verstädterten	fɛɐ.'ʃteːt.tɐ.tən
Verstädterung	fɛɐ.'ʃteːt.tə.ʀʊŋ
verständig	fɛɐ.'ʃtɛn.dɪç
Verständigung	fɛɐ.'ʃtɛn.diː.gʊŋ
verständlich	fɛɐ.'ʃtɛn.dlɪç
verständliche	fɛɐ.'ʃtɛn.dlɪ.çə
verständlichen	fɛɐ.'ʃtɛn.dlɪ.çən
verständlichere	fɛɐ.'ʃtɛn.dlɪ.çə.ʀə
Verständlichkeit	fɛɐ.'ʃtɛn.dlɪç.kaɪt
Verständlichkeiten	fɛɐ.'ʃtɛn.dlɪç.kaɪ.tən
verständlichste	fɛɐ.'ʃtɛn.dlɪç.ʃtə
Verständnis	fɛɐ.'ʃtɛn.dniːs
Verständnislosigkeit	fɛɐ.'ʃtɛn.dnɪ.sloː.zɪç.kaɪt
Verständnisse	fɛɐ.'ʃtɛn.dnɪ.sə
verständnisvoll	fɛɐ.'ʃtɛn.dnɪ.sfɔl
verständnisvollere	fɛɐ.'ʃtɛn.dnɪ.sfɔ.lə.ʀə
verständnisvollste	fɛɐ.'ʃtɛn.dnɪ.sfɔl.ʃtə
verstärken	fɛɐ.'ʃteːɐ.kən
verstärkend	fɛɐ.'ʃteːɐ.kɛnt
Verstärker	fɛɐ.'ʃteːɐ.kɐ
Verstärkerbaugruppe	fɛɐ.'ʃteːɐ.kɐ.baʊ.gʀʊ.pə
Verstärkereinrichtung	fɛɐ.'ʃteːɐ.kə.ʀaɪ.nʀɪç.tʊŋ
Verstärkerröhre	fɛɐ.'ʃteːɐ.kɛ.ʀøː.ʀə
verstärkert	fɛɐ.'ʃteːɐ.kɛɐt
verstärkt	'feːɐ.ʃtɛɐkt
verstärkte	fɛɐ.'ʃtɛɐk.tə
verstärkten	fɛɐ.'ʃtɛɐk.tən
Verstärkung	fɛɐ.'ʃteːɐ.kʊŋ
Verstärkungen	fɛɐ.'ʃteːɐ.kʊŋ.gən
Verstärkungsfaktor Eins	fɛɐ.'ʃteːɐ.kʊnks.faːk.tɔɐ .aɪns
verstärkungsfähig	fɛɐ.'ʃteːɐ.kʊnks.fə.hɪç
verstört	'feːɐ.ʃtœɐt
Verstörtheit	fɛɐ.'ʃtœɐt.haɪt
Verstöße	fɛɐ.'ʃtøː.sə
verstößt	'feːɐ.ʃtœst
verstümmeln	fɛɐ.'ʃtʏ.mɛln
verstümmelnd	fɛɐ.'ʃtʏ.mɛlnt
verstümmelt	fɛɐ.'ʃtʏ.mɛlt
verstümmelte	fɛɐ.'ʃtʏ.məl.tə
verstümmelten	fɛɐ.'ʃtʏ.məl.tən
verstümmeltes	fɛɐ.'ʃtʏ.məl.teːs
Verstümmelung	fɛɐ.'ʃtʏ.mə.lʊŋ
Versuch	'feːɐ.zuːx
versuche	fɛɐ.'zuː.xə
versuche	fɛɐ.'zuː.xə
versuchen	fɛɐ.'zuː.xən
versuchend	fɛɐ.'zuː.xɛnt
versuchenswert	fɛɐ.'zuː.xən.svɛɐt
Versucher	fɛɐ.'zuː.xɐ
Versucherin	fɛɐ.'zuː.xə.ʀiːn
Versucherinnen	fɛɐ.'zuː.xə.ʀɪ.nən
Versuchs	'feːɐ.zʊxs
Versuchs doch mal	fɛɐ.'zʊxs .dɔx .maːl
Versuchsanstalt	fɛɐ.'zuːx.zaːn.ʃtalt
Versuchsaufbau	fɛɐ.'zuːx.zaʊf.baʊ
Versuchsbedingung	fɛɐ.'zuːx.sbə.dɪŋ.gʊŋ
Versuchsbohrung	fɛɐ.'zuːx.sboː.ʀʊŋ
Versuchsfahrten	fɛɐ.'zuːx.sfaːɐ.tən
Versuchsgelände	fɛɐ.'zuːx.sgə.lən.də
Versuchsingenieur	fɛɐ.'zuːx.zɪŋ.gə.niː.uːɐ
Versuchskaninchen	fɛɐ.'zuːx.ska.nɪn.çən
Versuchsobjekt	fɛɐ.'zuːx.zoːp.jɛkt
Versuchsperson	fɛɐ.'zuːx.ʃpɐ.zoːn
Versuchsprojekt	fɛɐ.'zuːx.ʃpʀoː.jɛkt
Versuchsreihe	fɛɐ.'zuːx.sʀaɪ.hə
Versuchsstadium	fɛɐ.'zuːx.staː.diː.uːm
Versuchsstrecke	fɛɐ.'zuːx.stʀɛ.kə
Versuchstier	fɛɐ.'zuːx.ʃtiːɐ
VersuchsundIrrtumsMethode	fɛɐ.'zuːx.zʊn.dɪɐ.tuːm.smeːt.hoː.də
versuchsweise	fɛɐ.'zuːx.svaɪ.zə
versucht	'feːɐ.zʊxt
versucht erneut	fɛɐ.'zʊxt .ə.ʀnɔɪt
versucht wieder	fɛɐ.'zʊxt .viː.dɐ
versuchte	fɛɐ.'zuːx.tə
versuchte erneut	fɛɐ.'zuːx.teː .ə.ʀnɔɪt
versuchte wieder	fɛɐ.'zuːx.teː .viː.dɐ
Versuchung	fɛɐ.'zuː.xʊŋ
Versuchungen	fɛɐ.'zuː.xʊŋ.gən
versumpfen	fɛɐ.'zʊm.pfən
versumpfend	fɛɐ.'zʊm.pfɛnt
versumpft	'feːɐ.zʊmpft
versumpfte	fɛɐ.'zʊmpf.tə
versunken	fɛɐ.'zʊŋ.kən
versunkene	fɛɐ.'zʊŋ.kə.nə
Versunkenheit	fɛɐ.'zʊŋ.kən.haɪt
versäuft	fɛɐ.'zeː.ʊft
versäumen	fɛɐ.'zeː.uː.mən
versäumen Sie nicht hinzugehen	fɛɐ.'zeː.uː.mɛn .ziː .nɪçt .hɪn.ʦuː.geː.ən
versäumend	fɛɐ.'zeː.uː.mɛnt
Versäumnis	fɛɐ.'zeː.ʊ.mniːs
Versäumnisse	fɛɐ.'zeː.ʊ.mnɪ.sə
versäumt	fɛɐ.'zeː.ʊmt
versäumte	fɛɐ.'zeː.ʊm.tə
versöhnbar	fɛɐ.'zøːn.baːɐ
versöhnen	fɛɐ.'zøː.nən
versöhnend	fɛɐ.'zøː.nɛnt
versöhnende	fɛɐ.'zøː.nən.də
versöhnlich	fɛɐ.'zøː.nlɪç
versöhnliche	fɛɐ.'zøː.nlɪ.çə
Versöhnlichkeit	fɛɐ.'zøː.nlɪç.kaɪt
Versöhnlichkeiten	fɛɐ.'zøː.nlɪç.kaɪ.tən
versöhnt	'feːɐ.zøːnt
versöhnte	fɛɐ.'zøːn.tə
Versöhnung	fɛɐ.'zøː.nʊŋ
versüßen	fɛɐ.'zyː.sən
versüßt	'feːɐ.zʏst
versüßte	fɛɐ.'zyːs.tə
vertagen	fɛɐ.'taː.gən
vertagend	fɛɐ.'taː.gɛnt
vertagt	'feːɐ.takt
vertagte	fɛɐ.'taːk.tə
Vertagung	fɛɐ.'ta.gʊŋ
Vertagungen	fɛɐ.'ta.gʊŋ.gən
vertan	'feːɐ.taːn
vertauschbar	fɛɐ.'taʊ.ʃbaːɐ
vertauschen	fɛɐ.'taʊ.ʃən
vertauschend	fɛɐ.'taʊ.ʃɛnt
vertauscht	fɛɐ.'taʊʃt
vertauschte	fɛɐ.'taʊ.ʃtə
Vertauschung	fɛɐ.'taʊ.ʃʊŋ
verteidigen	fɛɐ.'taɪ.diː.gən
verteidigen gegen	fɛɐ.'taɪ.diː.gɛn .gə.gən
verteidigend	fɛɐ.'taɪ.diː.gɛnt
Verteidiger	fɛɐ.'taɪ.diː.gɐ
verteidigt	fɛɐ.'taɪ.dɪkt
verteidigte	fɛɐ.'taɪ.dɪç.tə
Verteidigung	fɛɐ.'taɪ.diː.gʊŋ
Verteidigungen	fɛɐ.'taɪ.diː.gʊŋ.gən
Verteidigungsbündnis	fɛɐ.'taɪ.diː.gʊnks.bʏn.dniːs
Verteidigungskrieg	fɛɐ.'taɪ.diː.gʊnks.kʀiːk
Verteidigungsminister	fɛɐ.'taɪ.diː.gʊnks.miː.nɪ.ʃtɐ
Verteidigungsreden	fɛɐ.'taɪ.diː.gʊnks.ʀə.dən
verteilbar	fɛɐ.'taɪl.baːɐ
verteilen	fɛɐ.'taɪ.lən
verteilen unter	fɛɐ.'taɪ.lɛn .ʊn.tɐ
verteilend	fɛɐ.'taɪ.lɛnt
verteilende	fɛɐ.'taɪ.lən.də
Verteiler	fɛɐ.'taɪ.lɐ
Verteiler	fɛɐ.'taɪ.lɐ
Verteilerliste Büro	fɛɐ.'taɪ.lə.ʀlɪ.ʃtɛ  .byː.ʀoː
verteilt	fɛɐ.'taɪlt
verteilt neu	fɛɐ.'taɪlt .nɔɪ
verteilte	fɛɐ.'taɪl.tə
verteilte neu	fɛɐ.'taɪl.teː .nɔɪ
verteilte sparsam	fɛɐ.'taɪl.teː .ʃpaːɐ.zaːm
Verteilung	fɛɐ.'taɪ.lʊŋ
Verteilungs	fɛɐ.'taɪ.lʊnks
Verteilungsfunktion	fɛɐ.taɪ.lʊnks.fʊŋ.'ʦjoːn
Verteilungsschlüssel	fɛɐ.'taɪ.lʊnks.ʃlʏ.səl
Verteter	fɛɐ.'tɛ.tɐ
verteueren	fɛɐ.'tɔɪ.ə.ʀən
verteuern	fɛɐ.'tɔɪ.ɐn
verteuernd	fɛɐ.'tɔɪ.ɛɐnt
verteuert	fɛɐ.'tɔɪ.ɛɐt
verteuerte	fɛɐ.'tɔɪ.ɐ.tə
Verteuerung	fɛɐ.'tɔɪ.ə.ʀʊŋ
verteufeln	fɛɐ.'tɔɪ.fɛln
verteufelnd	fɛɐ.'tɔɪ.fɛlnt
verteufelt	fɛɐ.'tɔɪ.fɛlt
verteufelte	fɛɐ.'tɔɪ.fəl.tə
vertiefen	fɛɐ.'tiː.fən
vertiefend	fɛɐ.'tiː.fɛnt
vertieft	fɛɐ.'tiːft
vertiefte	fɛɐ.'tiːf.tə
Vertieftsein	fɛɐ.'tiːft.zaɪn
Vertiefung	fɛɐ.'tiː.fʊŋ
Vertiefung geistige	fɛɐ.'tiː.fʊnk  .gaɪ.ʃtiː.gə
vertiert	fɛɐ.'tiːɐt
Vertikalablenkplatten	fɛɐ.'tiː.kaː.la.blɛŋ.pla.tən
Vertikale	fɛɐ.'tiː.kaː.lə
vertikale Ausfallenden	fɛɐ.'tiː.kaː.leː .aʊ.sfa.lɛn.dən
vertikaler	fɛɐ.'tiː.kaː.lɐ
Vertilgung	fɛɐ.'tɪl.gʊŋ
vertippen	fɛɐ.'tɪ.pən
vertippend	fɛɐ.'tɪ.pɛnt
vertippt	'feːɐ.tɪpt
vertippte	fɛɐ.'tɪp.tə
vertonen	fɛɐ.'toː.nən
vertonend	fɛɐ.'toː.nɛnt
vertont	'feːɐ.tɔnt
Vertonung	fɛɐ.'toː.nʊŋ
vertrackt	'feːɐ.tʀakt
Vertrag	'feːɐ.tʀaːk
Vertrag abschließen	fɛɐ.'tʀak .aːp.ʃliː.sən
Vertrag abschließen	fɛɐ.'tʀak .aːp.ʃliː.sən
Vertrag annehmen	fɛɐ.'tʀak .a.neː.mən
Vertrag beglaubigen	fɛɐ.'tʀak .bə.glaʊ.biː.gən
Vertrag bestätigen	fɛɐ.'tʀak .bə.ʃtə.tiː.gən
Vertrag geschlossen	fɛɐ.'tʀak .gə.ʃlɔ.sən
Vertrag kündigen	fɛɐ.'tʀak .kʏn.diː.gən
Vertrag läuft aus	fɛɐ.'tʀak .lə.ʊft .aʊs
Vertrag schließend	fɛɐ.'tʀak .ʃliː.sɛnt
Vertrag stornieren	fɛɐ.tʀak .ʃtɔ.'ʀniː.ʀən
Vertrag verlängern	fɛɐ.'tʀak .fə.ʀlən.gɐn
Vertrag ändern	fɛɐ.'tʀak .ən.dɐn
vertragen	fɛɐ.'tʀaː.gən
vertraglich	fɛɐ.'tʀa.glɪç
vertraglich festschreiben	fɛɐ.'tʀa.glɪç .fɛst.ʃʀaɪ.bən
vertraglich gebunden	fɛɐ.'tʀa.glɪç .gə.bʊn.dən
vertraglich vereinbaren	fɛɐ.'tʀa.glɪç .fə.ʀaɪn.baː.ʀən
vertraglich verpflichtend	fɛɐ.'tʀa.glɪç .fɐ.pflɪç.tɛnt
vertragliche	fɛɐ.'tʀa.glɪ.çə
Vertrags	'feːɐ.tʀaks
Vertragsbedingungen	fɛɐ.'tʀaːk.sbə.dɪŋ.gʊŋ.gən
Vertragsbedingungen aushandeln	fɛɐ.'tʀaːk.sbə.dɪŋ.gʊŋ.gɛn .aʊs.han.dɛln
Vertragsbruch	fɛɐ.'tʀaːk.sbʀuːx
Vertragsbrüche	fɛɐ.'tʀaːk.sbʀyː.çə
vertragsbrüchig	fɛɐ.'tʀaːk.sbʀyː.çɪç
